,North,South,East,West,Central,OverallReading
21/6/2013
1:00am,193,225,192,198,180,180-225
2:00am,191,209,189,196,177,177-209
3:00am,190,197,185,194,173,173-197
4:00am,190,193,181,192,171,171-193
5:00am,189,191,179,189,169,169-191
6:00am,189,190,177,188,168,168-190
7:00am,191,191,176,191,166,166-191
8:00am,197,196,180,198,170,170-198
9:00am,205,205,184,209,175,175-209
10:00am,219,216,186,220,179,179-220
11:00am,217,220,186,227,180,180-227
12:00pm,210,232,188,225,181,181-232
1:00pm,197,239,188,210,179,179-239
2:00pm,193,230,185,200,175,175-230
3:00pm,190,225,181,196,173,173-225
4:00pm,185,225,177,194,171,171-225
5:00pm,177,216,175,189,166,166-216
6:00pm,173,200,169,182,161,161-200
7:00pm,174,197,167,179,159,159-197
8:00pm,173,194,166,175,158,158-194
9:00pm,172,189,163,172,155,155-189
10:00pm,170,186,160,169,154,154-186
11:00pm,170,183,159,169,154,154-183
12:00am,170,183,159,170,155,155-183
22/6/2013
1:00am,171,185,160,172,156,156-185
2:00am,172,189,162,176,159,159-189
3:00am,174,192,165,180,162,162-192
4:00am,176,197,168,184,166,166-197
5:00am,179,204,171,188,170,170-204
6:00am,182,226,177,193,173,173-226
7:00am,183,241,184,194,177,177-241
8:00am,182,246,185,194,179,179-246
9:00am,180,241,184,194,177,177-241
10:00am,178,235,182,194,176,176-235
11:00am,178,229,181,193,175,175-229
12:00pm,180,216,177,193,173,173-216
1:00pm,182,199,176,191,173,173-199
2:00pm,181,197,175,189,172,172-197
3:00pm,178,193,174,185,170,170-193
4:00pm,175,187,173,181,167,167-187
5:00pm,171,185,170,178,165,165-185
6:00pm,168,184,168,176,162,162-184
7:00pm,163,182,165,175,161,161-182
8:00pm,160,180,163,172,159,159-180
9:00pm,157,178,161,169,157,157-178
10:00pm,154,175,159,166,153,153-175
11:00pm,151,171,154,162,148,148-171
12:00am,148,167,151,158,144,144-167
23/6/2013
1:00am,144,164,147,153,141,141-164
2:00am,141,160,144,147,137,137-160
3:00am,138,157,141,143,134,134-157
4:00am,134,154,139,139,130,130-154
5:00am,130,150,137,136,127,127-150
6:00am,127,143,132,132,124,124-143
7:00am,123,136,125,126,120,120-136
8:00am,119,128,118,119,114,114-128
9:00am,115,121,112,112,108,108-121
10:00am,110,114,105,107,101,101-114
11:00am,104,106,98,100,95,95-106
12:00pm,96,98,91,94,88,88-98
1:00pm,91,95,84,93,84,84-95
2:00pm,89,93,82,93,82,82-93
3:00pm,88,94,81,94,82,81-94
4:00pm,89,94,82,95,82,82-95
5:00pm,89,94,82,96,82,82-96
6:00pm,89,93,81,97,81,81-97
7:00pm,88,92,81,99,81,81-99
8:00pm,87,90,80,102,79,79-102
9:00pm,85,89,79,105,78,78-105
10:00pm,83,88,78,109,77,77-109
11:00pm,82,87,77,110,76,76-110
12:00am,80,87,76,109,75,75-109
24/6/2013
1:00am,79,86,75,108,74,74-108
2:00am,78,84,73,108,73,73-108
3:00am,76,82,71,107,72,71-107
4:00am,74,79,69,105,70,69-105
5:00am,72,76,66,103,68,66-103
6:00am,70,73,64,101,66,64-101
7:00am,67,71,62,98,64,62-98
8:00am,65,68,60,96,62,60-96
9:00am,63,66,59,93,60,59-93
10:00am,61,64,58,91,59,58-91
11:00am,60,63,57,90,57,57-90
12:00pm,59,62,56,89,57,56-89
1:00pm,58,61,56,89,56,56-89
2:00pm,58,61,55,88,56,55-88
3:00pm,58,61,55,88,57,55-88
4:00pm,59,61,55,88,57,55-88
5:00pm,61,62,55,87,58,55-87
6:00pm,61,62,55,85,59,55-85
7:00pm,70,63,55,83,59,55-83
8:00pm,77,64,55,80,60,55-80
9:00pm,77,63,55,76,60,55-77
10:00pm,77,62,55,73,60,55-77
11:00pm,77,61,55,71,59,55-77
12:00am,77,60,54,71,58,54-77
25/6/2013
1:00am,77,60,53,70,57,53-77
2:00am,77,59,53,69,57,53-77
3:00am,77,58,53,69,56,53-77
4:00am,77,58,53,68,56,53-77
5:00am,77,58,52,68,56,52-77
6:00am,77,58,52,67,55,52-77
7:00am,77,57,52,67,55,52-77
8:00am,77,58,52,68,55,52-77
9:00am,77,58,52,68,55,52-77
10:00am,77,57,52,68,54,52-77
11:00am,77,57,52,67,54,52-77
12:00pm,77,57,52,67,54,52-77
1:00pm,66,57,52,67,54,52-67
2:00pm,58,57,52,67,54,52-67
3:00pm,58,56,52,67,54,52-67
4:00pm,57,56,52,66,54,52-66
5:00pm,55,57,52,65,53,52-65
6:00pm,55,56,52,63,52,52-63
7:00pm,54,56,52,62,52,52-62
8:00pm,54,56,52,60,52,52-60
9:00pm,53,56,53,59,52,52-59
10:00pm,52,56,53,57,52,52-57
11:00pm,52,57,54,56,52,52-57
12:00am,52,57,55,56,52,52-57
26/6/2013
1:00am,53,58,55,56,53,53-58
2:00am,53,58,56,56,53,53-58
3:00am,54,59,56,57,54,54-59
4:00am,55,59,56,58,55,55-59
5:00am,55,59,56,59,55,55-59
6:00am,56,59,56,60,56,56-60
7:00am,57,60,57,60,57,57-60
8:00am,58,60,57,61,58,57-61
9:00am,60,60,57,61,59,57-61
10:00am,60,61,58,62,60,58-62
11:00am,61,62,58,62,60,58-62
12:00pm,62,62,59,62,60,59-62
1:00pm,61,62,59,62,60,59-62
2:00pm,61,62,58,60,59,58-62
3:00pm,60,61,56,58,58,56-61
4:00pm,58,59,55,57,56,55-59
5:00pm,57,58,55,57,55,55-58
6:00pm,57,58,55,57,55,55-58
7:00pm,57,58,55,58,56,55-58
8:00pm,57,57,54,58,55,54-58
9:00pm,57,57,53,59,55,53-59
10:00pm,58,57,52,60,55,52-60
11:00pm,58,57,52,60,56,52-60
12:00am,59,57,51,60,56,51-60
27/6/2013
1:00am,60,57,51,60,56,51-60
2:00am,60,57,52,61,56,52-61
3:00am,60,57,52,60,56,52-60
4:00am,60,57,53,60,57,53-60
5:00am,59,58,53,60,57,53-60
6:00am,59,58,53,59,56,53-59
7:00am,58,58,53,59,56,53-59
8:00am,58,59,54,59,56,54-59
9:00am,58,59,54,58,55,54-59
10:00am,58,59,54,57,55,54-59
11:00am,58,59,54,57,55,54-59
12:00pm,58,59,54,56,55,54-59
1:00pm,59,59,55,56,56,55-59
2:00pm,60,59,56,56,56,56-60
3:00pm,61,60,56,58,57,56-61
4:00pm,62,61,57,60,57,57-62
5:00pm,63,62,57,61,58,57-63
6:00pm,64,63,58,61,58,58-64
7:00pm,65,63,58,61,58,58-65
8:00pm,65,64,58,62,59,58-65
9:00pm,65,64,59,61,58,58-65
10:00pm,65,64,59,60,58,58-65
11:00pm,65,63,59,59,58,58-65
12:00am,64,62,59,58,57,57-64
28/6/2013
1:00am,63,61,59,58,56,56-63
2:00am,63,61,58,57,56,56-63
3:00am,63,60,57,56,55,55-63
4:00am,63,60,57,56,54,54-63
5:00am,63,59,57,56,54,54-63
6:00am,63,59,57,55,53,53-63
7:00am,63,57,57,55,53,53-63
8:00am,62,56,57,55,53,53-62
9:00am,62,55,57,55,53,53-62
10:00am,61,55,56,55,52,52-61
11:00am,61,54,55,54,52,52-61
12:00pm,60,54,55,54,51,51-60
1:00pm,60,54,54,54,51,51-60
2:00pm,59,53,53,53,51,51-59
3:00pm,59,53,53,52,51,51-59
4:00pm,58,53,53,52,51,51-58
5:00pm,58,52,53,52,50,50-58
6:00pm,57,51,53,51,50,50-57
7:00pm,57,50,53,51,50,50-57
8:00pm,57,50,53,51,50,50-57
9:00pm,56,49,53,51,49,49-56
10:00pm,57,50,52,52,49,49-57
11:00pm,57,51,52,53,50,50-57
12:00am,58,52,53,54,51,51-58
29/6/2013
1:00am,58,54,53,55,51,51-58
2:00am,58,55,54,56,52,52-58
3:00am,58,56,55,56,53,53-58
4:00am,58,57,56,57,53,53-58
5:00am,59,58,57,57,54,54-59
6:00am,60,59,58,57,54,54-60
7:00am,61,60,59,58,55,55-61
8:00am,62,61,60,58,56,56-62
9:00am,63,62,60,59,56,56-63
10:00am,64,63,62,59,57,57-64
11:00am,65,64,63,60,58,58-65
12:00pm,66,64,63,60,58,58-66
1:00pm,66,64,64,59,59,59-66
2:00pm,67,64,65,60,59,59-67
3:00pm,67,64,65,60,59,59-67
4:00pm,67,64,65,60,59,59-67
5:00pm,68,64,64,60,59,59-68
6:00pm,68,64,64,60,59,59-68
7:00pm,69,65,65,60,60,60-69
8:00pm,69,66,66,61,60,60-69
9:00pm,70,66,68,61,61,61-70
10:00pm,70,66,69,61,61,61-70
11:00pm,70,66,69,61,61,61-70
12:00am,70,66,70,62,62,62-70
30/6/2013
1:00am,71,66,70,62,62,62-71
2:00am,71,67,71,63,62,62-71
3:00am,71,68,71,63,63,63-71
4:00am,71,68,71,64,63,63-71
5:00am,70,68,71,64,63,63-71
6:00am,69,68,71,64,64,64-71
7:00am,69,69,70,65,64,64-70
8:00am,69,69,70,65,64,64-70
9:00am,69,69,70,65,64,64-70
10:00am,69,68,68,64,64,64-69
11:00am,67,67,67,63,62,62-67
12:00pm,65,66,66,62,61,61-66
1:00pm,64,65,65,62,60,60-65
2:00pm,62,64,64,61,59,59-64
3:00pm,61,63,63,60,58,58-63
4:00pm,60,62,62,59,57,57-62
5:00pm,59,61,61,58,56,56-61
6:00pm,57,60,61,57,55,55-61
7:00pm,55,59,60,56,54,54-60
8:00pm,54,57,58,55,53,53-58
9:00pm,53,56,55,54,52,52-56
10:00pm,52,55,54,53,51,51-55
11:00pm,51,54,53,51,50,50-54
12:00am,50,53,52,50,49,49-53
1/7/2013
1:00am,48,52,50,48,47,47-52
2:00am,47,50,48,45,45,45-50
3:00am,46,46,45,43,42,42-46
4:00am,44,43,41,40,40,40-44
5:00am,42,40,38,37,37,37-42
6:00am,42,37,36,35,35,35-42
7:00am,41,34,33,32,32,32-41
8:00am,39,31,31,31,29,29-39
9:00am,37,28,29,31,27,27-37
10:00am,36,28,28,31,26,26-36
11:00am,38,29,29,31,27,27-38
12:00pm,40,30,31,31,29,29-40
1:00pm,41,32,32,32,30,30-41
2:00pm,43,34,34,33,32,32-43
3:00pm,45,35,35,35,33,33-45
4:00pm,46,36,36,35,34,34-46
5:00pm,46,37,36,35,34,34-46
6:00pm,47,37,35,34,33,33-47
7:00pm,48,37,35,34,33,33-48
8:00pm,48,37,35,34,33,33-48
9:00pm,48,37,35,34,34,34-48
10:00pm,48,36,34,34,33,33-48
11:00pm,48,35,33,34,32,32-48
12:00am,48,35,33,33,32,32-48
2/7/2013
1:00am,48,36,33,33,31,31-48
2:00am,47,36,32,33,31,31-47
3:00am,47,37,32,32,31,31-47
4:00am,47,37,32,32,31,31-47
5:00am,46,37,33,32,31,31-46
6:00am,45,38,33,33,31,31-45
7:00am,44,39,33,33,31,31-44
8:00am,43,39,33,33,31,31-43
9:00am,42,40,33,32,31,31-42
10:00am,41,39,33,32,30,30-41
11:00am,40,38,32,32,30,30-40
12:00pm,39,38,32,32,30,30-39
1:00pm,39,37,31,31,30,30-39
2:00pm,38,37,31,31,30,30-38
3:00pm,37,38,31,31,30,30-38
4:00pm,37,37,31,33,30,30-37
5:00pm,38,37,32,34,30,30-38
6:00pm,38,38,32,35,31,31-38
7:00pm,38,38,33,36,31,31-38
8:00pm,38,37,33,36,31,31-38
9:00pm,38,37,33,36,31,31-38
10:00pm,37,37,33,36,31,31-37
11:00pm,37,37,33,36,31,31-37
12:00am,36,37,33,36,31,31-37
3/7/2013
1:00am,36,36,33,36,30,30-36
2:00am,36,35,32,36,30,30-36
3:00am,36,35,32,36,30,30-36
4:00am,36,35,31,36,29,29-36
5:00am,36,33,31,35,29,29-36
6:00am,36,32,30,35,29,29-36
7:00am,36,31,30,34,28,28-36
8:00am,37,31,30,34,28,28-37
9:00am,37,31,30,34,28,28-37
10:00am,36,31,30,33,28,28-36
11:00am,36,30,30,33,28,28-36
12:00pm,36,30,29,33,27,27-36
1:00pm,35,29,29,32,27,27-35
2:00pm,35,28,29,32,27,27-35
3:00pm,35,28,28,31,27,27-35
4:00pm,35,28,28,30,27,27-35
5:00pm,34,28,27,29,27,27-34
6:00pm,34,27,27,29,27,27-34
7:00pm,35,28,27,29,27,27-35
8:00pm,36,28,27,30,27,27-36
9:00pm,36,29,27,31,27,27-36
10:00pm,37,29,28,32,28,28-37
11:00pm,37,29,27,33,28,27-37
12:00am,37,29,27,33,29,27-37
4/7/2013
1:00am,37,29,27,32,29,27-37
2:00am,37,29,27,32,29,27-37
3:00am,37,28,27,32,29,27-37
4:00am,37,28,27,32,29,27-37
5:00am,37,28,27,33,29,27-37
6:00am,38,29,27,33,29,27-38
7:00am,38,29,28,34,29,28-38
8:00am,39,29,29,35,29,29-39
9:00am,40,30,31,36,30,30-40
10:00am,40,31,32,37,31,31-40
11:00am,41,30,32,37,31,30-41
12:00pm,41,31,32,37,31,31-41
1:00pm,42,31,32,37,31,31-42
2:00pm,41,31,31,37,30,30-41
3:00pm,41,31,31,37,30,30-41
4:00pm,41,31,31,37,29,29-41
5:00pm,40,31,31,36,29,29-40
6:00pm,40,31,31,35,28,28-40
7:00pm,40,32,31,35,29,29-40
8:00pm,39,33,32,35,29,29-39
9:00pm,39,33,33,34,30,30-39
10:00pm,39,33,33,33,30,30-39
11:00pm,38,33,34,32,30,30-38
12:00am,38,33,34,31,29,29-38
5/7/2013
1:00am,37,33,33,31,28,28-37
2:00am,36,32,33,30,28,28-36
3:00am,36,32,32,29,28,28-36
4:00am,35,32,32,28,27,27-35
5:00am,35,31,31,28,27,27-35
6:00am,33,31,31,27,26,26-33
7:00am,32,31,30,26,26,26-32
8:00am,31,30,28,25,24,24-31
9:00am,30,29,26,24,23,23-30
10:00am,30,28,25,22,22,22-30
11:00am,28,29,25,21,22,21-29
12:00pm,27,28,25,21,21,21-28
1:00pm,27,28,24,20,21,20-28
2:00pm,26,28,23,19,21,19-28
3:00pm,25,27,22,20,20,20-27
4:00pm,25,26,22,22,19,19-26
5:00pm,24,26,22,22,19,19-26
6:00pm,24,27,23,22,19,19-27
7:00pm,23,27,24,23,19,19-27
8:00pm,22,26,24,23,19,19-26
9:00pm,21,26,24,23,20,20-26
10:00pm,21,27,24,23,20,20-27
11:00pm,22,27,24,24,21,21-27
12:00am,23,28,24,25,22,22-28
6/7/2013
1:00am,24,30,25,27,23,23-30
2:00am,25,31,26,29,23,23-31
3:00am,26,32,27,31,24,24-32
4:00am,27,32,27,31,25,25-32
5:00am,27,32,28,32,26,26-32
6:00am,28,33,28,33,26,26-33
7:00am,28,33,28,34,26,26-34
8:00am,29,33,28,34,26,26-34
9:00am,28,32,28,33,26,26-33
10:00am,28,32,27,33,26,26-33
11:00am,28,31,27,33,25,25-33
12:00pm,29,30,26,34,25,25-34
1:00pm,29,30,26,33,25,25-33
2:00pm,30,29,26,33,24,24-33
3:00pm,30,29,26,31,24,24-31
4:00pm,30,28,26,30,24,24-30
5:00pm,29,27,25,29,24,24-29
6:00pm,29,27,24,29,24,24-29
7:00pm,29,26,22,28,23,22-29
8:00pm,29,25,21,28,22,21-29
9:00pm,29,24,19,28,21,19-29
10:00pm,28,23,18,30,20,18-30
11:00pm,27,22,17,31,19,17-31
12:00am,26,26,17,32,18,17-32
7/7/2013
1:00am,25,26,16,31,18,16-31
2:00am,25,25,16,30,17,16-30
3:00am,25,25,15,30,17,15-30
4:00am,24,24,15,30,16,15-30
5:00am,24,24,15,30,16,15-30
6:00am,23,23,15,29,16,15-29
7:00am,23,23,15,28,15,15-28
8:00am,23,22,15,29,15,15-29
9:00am,23,21,15,29,15,15-29
10:00am,22,20,15,30,15,15-30
11:00am,22,19,15,31,15,15-31
12:00pm,22,19,14,33,15,14-33
1:00pm,21,18,14,33,15,14-33
2:00pm,21,17,14,32,15,14-32
3:00pm,21,17,13,31,15,13-31
4:00pm,21,17,14,30,15,14-30
5:00pm,21,16,14,30,16,14-30
6:00pm,21,16,14,30,16,14-30
7:00pm,21,16,14,31,16,14-31
8:00pm,21,15,14,30,16,14-30
9:00pm,20,14,14,30,16,14-30
10:00pm,20,14,14,29,16,14-29
11:00pm,19,14,14,27,16,14-27
12:00am,20,14,12,27,12,12-27
8/7/2013
1:00am,19,14,12,26,12,12-26
2:00am,19,14,12,26,12,12-26
3:00am,19,14,12,26,12,12-26
4:00am,19,14,11,25,12,11-25
5:00am,18,14,12,25,12,12-25
6:00am,18,14,12,25,12,12-25
7:00am,17,13,12,26,11,11-26
8:00am,17,13,11,26,11,11-26
9:00am,17,13,11,26,11,11-26
10:00am,17,13,11,25,11,11-25
11:00am,16,13,11,24,12,11-24
12:00pm,16,14,11,23,12,11-23
1:00pm,16,14,11,25,12,11-25
2:00pm,16,14,11,29,12,11-29
3:00pm,16,14,12,31,12,12-31
4:00pm,17,15,12,32,13,12-32
5:00pm,17,16,13,31,14,13-31
6:00pm,18,17,13,29,14,13-29
7:00pm,18,17,13,28,14,13-28
8:00pm,18,18,14,27,15,14-27
9:00pm,18,19,15,27,16,15-27
10:00pm,19,19,16,27,16,16-27
11:00pm,19,20,17,27,16,16-27
12:00am,19,20,17,27,17,17-27
9/7/2013
1:00am,20,20,17,27,17,17-27
2:00am,20,20,16,28,17,16-28
3:00am,21,20,17,29,17,17-29
4:00am,21,20,17,30,18,17-30
5:00am,22,21,17,30,18,17-30
6:00am,23,21,17,30,18,17-30
7:00am,24,21,17,30,18,17-30
8:00am,23,21,16,30,18,16-30
9:00am,24,21,17,30,19,17-30
10:00am,24,22,17,30,19,17-30
11:00am,24,22,17,29,19,17-29
12:00pm,25,22,17,30,19,17-30
1:00pm,25,22,17,30,19,17-30
2:00pm,25,22,17,29,19,17-29
3:00pm,25,22,17,29,19,17-29
4:00pm,24,21,17,29,18,17-29
5:00pm,24,21,17,29,19,17-29
6:00pm,23,20,17,29,18,17-29
7:00pm,24,20,17,28,18,17-28
8:00pm,25,19,16,28,17,16-28
9:00pm,25,18,15,28,17,15-28
10:00pm,25,18,14,27,16,14-27
11:00pm,25,17,14,27,16,14-27
12:00am,24,17,14,26,16,14-26
10/7/2013
1:00am,24,17,14,24,16,14-24
2:00am,24,17,14,22,16,14-24
3:00am,23,16,14,20,16,14-23
4:00am,23,16,14,19,15,14-23
5:00am,22,16,14,18,15,14-22
6:00am,21,16,14,18,15,14-21
7:00am,21,16,14,18,15,14-21
8:00am,22,16,15,18,16,15-22
9:00am,22,16,15,18,15,15-22
10:00am,22,15,15,18,15,15-22
11:00am,22,15,15,18,15,15-22
12:00pm,22,15,15,17,15,15-22
1:00pm,22,15,14,18,14,14-22
2:00pm,22,14,14,17,14,14-22
3:00pm,22,14,14,17,14,14-22
4:00pm,21,14,14,16,14,14-21
5:00pm,21,13,14,16,13,13-21
6:00pm,21,13,14,16,13,13-21
7:00pm,20,13,15,17,13,13-20
8:00pm,20,13,15,17,13,13-20
9:00pm,20,13,14,17,13,13-20
10:00pm,20,13,14,16,13,13-20
11:00pm,19,13,14,16,13,13-19
12:00am,19,13,14,15,13,13-19
11/7/2013
1:00am,19,13,14,16,12,12-19
2:00am,19,13,14,16,12,12-19
3:00am,19,13,14,16,12,12-19
4:00am,18,13,14,16,12,12-18
5:00am,18,13,14,18,12,12-18
6:00am,18,13,14,18,12,12-18
7:00am,18,13,14,19,12,12-19
8:00am,18,12,14,19,12,12-19
9:00am,17,12,14,18,12,12-18
10:00am,17,13,14,18,12,12-18
11:00am,17,13,14,18,12,12-18
12:00pm,17,13,14,19,12,12-19
1:00pm,17,14,15,19,13,13-19
2:00pm,17,15,15,18,13,13-18
3:00pm,16,15,15,18,13,13-18
4:00pm,16,15,15,18,14,14-18
5:00pm,17,15,16,18,14,14-18
6:00pm,17,17,16,19,15,15-19
7:00pm,17,17,17,20,15,15-20
8:00pm,16,18,18,20,15,15-20
9:00pm,16,18,18,21,15,15-21
10:00pm,16,19,19,22,16,16-22
11:00pm,17,20,20,22,18,17-22
12:00am,18,20,21,23,18,18-23
12/7/2013
1:00am,19,21,22,24,20,19-24
2:00am,21,21,24,24,21,21-24
3:00am,23,22,26,25,22,22-26
4:00am,25,23,28,26,24,23-28
5:00am,27,23,30,27,25,23-30
6:00am,29,23,32,30,27,23-32
7:00am,31,24,33,31,29,24-33
8:00am,33,24,35,33,31,24-35
9:00am,35,26,37,35,33,26-37
10:00am,37,28,38,37,35,28-38
11:00am,37,29,39,37,36,29-39
12:00pm,37,29,40,37,36,29-40
1:00pm,39,29,40,38,36,29-40
2:00pm,39,29,39,37,36,29-39
3:00pm,40,29,40,38,37,29-40
4:00pm,40,29,40,38,38,29-40
5:00pm,39,30,40,37,38,30-40
6:00pm,40,30,40,36,38,30-40
7:00pm,40,30,40,35,37,30-40
8:00pm,39,29,39,34,37,29-39
9:00pm,39,29,38,33,37,29-39
10:00pm,40,29,37,33,36,29-40
11:00pm,40,28,37,32,36,28-40
12:00am,40,28,37,32,36,28-40
13/7/2013
1:00am,40,28,36,32,35,28-40
2:00am,38,29,35,32,35,29-38
3:00am,36,29,34,32,34,29-36
4:00am,35,29,33,31,33,29-35
5:00am,34,29,32,30,33,29-34
6:00am,32,29,30,29,32,29-32
7:00am,31,30,29,27,30,27-31
8:00am,30,30,28,26,29,26-30
9:00am,29,29,27,24,27,24-29
10:00am,28,28,27,22,25,22-28
11:00am,28,28,26,22,25,22-28
12:00pm,29,29,27,22,26,22-29
1:00pm,29,29,27,23,26,23-29
2:00pm,30,30,28,23,27,23-30
3:00pm,30,31,29,25,28,25-31
4:00pm,31,32,30,26,29,26-32
5:00pm,33,33,31,27,29,27-33
6:00pm,34,33,32,28,30,28-34
7:00pm,35,34,32,30,31,30-35
8:00pm,37,36,34,31,33,31-37
9:00pm,38,37,35,33,34,33-38
10:00pm,39,38,36,35,35,35-39
11:00pm,40,39,36,36,36,36-40
12:00am,41,40,36,37,37,36-41
14/7/2013
1:00am,41,40,36,39,37,36-41
2:00am,42,40,37,40,38,37-42
3:00am,43,40,37,40,39,37-43
4:00am,45,41,38,41,39,38-45
5:00am,45,42,39,41,40,39-45
6:00am,45,42,39,41,40,39-45
7:00am,45,43,39,41,40,39-45
8:00am,45,43,39,41,40,39-45
9:00am,44,43,39,41,40,39-44
10:00am,44,42,38,41,40,38-44
11:00am,43,40,38,40,39,38-43
12:00pm,42,39,37,40,38,37-42
1:00pm,42,39,36,40,37,36-42
2:00pm,41,39,36,40,37,36-41
3:00pm,41,39,36,39,37,36-41
4:00pm,40,38,35,39,36,35-40
5:00pm,39,37,34,38,35,34-39
6:00pm,38,36,34,37,34,34-38
7:00pm,36,35,33,36,33,33-36
8:00pm,36,34,32,35,32,32-36
9:00pm,35,34,31,34,32,31-35
10:00pm,34,33,31,33,31,31-34
11:00pm,33,33,31,32,30,30-33
12:00am,32,32,30,31,30,30-32
15/7/2013
1:00am,31,32,30,29,29,29-32
2:00am,30,31,29,28,28,28-31
3:00am,29,30,28,27,26,26-30
4:00am,28,29,26,26,25,25-29
5:00am,27,28,25,26,24,24-28
6:00am,27,26,24,25,23,23-27
7:00am,26,25,23,25,22,22-26
8:00am,25,24,22,25,21,21-25
9:00am,24,24,21,25,20,20-25
10:00am,24,24,20,24,20,20-24
11:00am,24,24,20,24,20,20-24
12:00pm,23,23,20,24,19,19-24
1:00pm,23,22,19,24,19,19-24
2:00pm,22,21,18,28,18,18-28
3:00pm,22,20,17,29,18,17-29
4:00pm,22,20,17,29,18,17-29
5:00pm,23,20,17,29,18,17-29
6:00pm,23,20,17,29,18,17-29
7:00pm,24,20,17,30,17,17-30
8:00pm,24,20,16,29,17,16-29
9:00pm,23,19,16,29,17,16-29
10:00pm,23,19,16,29,17,16-29
11:00pm,23,18,17,29,16,16-29
12:00am,24,19,17,28,17,17-28
16/7/2013
1:00am,24,19,17,29,18,17-29
2:00am,24,20,17,29,18,17-29
3:00am,24,20,17,30,19,17-30
4:00am,25,21,17,30,19,17-30
5:00am,25,21,17,28,19,17-28
6:00am,26,21,18,25,20,18-26
7:00am,28,21,18,23,20,18-28
8:00am,29,21,19,22,20,19-29
9:00am,30,21,20,23,21,20-30
10:00am,31,21,21,24,22,21-31
11:00am,32,22,21,24,22,21-32
12:00pm,33,22,21,25,23,21-33
1:00pm,33,22,21,25,23,21-33
2:00pm,34,22,21,25,22,21-34
3:00pm,33,22,21,25,22,21-33
4:00pm,33,22,22,25,22,22-33
5:00pm,33,22,21,26,22,21-33
6:00pm,32,22,22,26,22,22-32
7:00pm,32,22,22,27,23,22-32
8:00pm,32,23,23,28,24,23-32
9:00pm,33,24,26,29,26,24-33
10:00pm,34,25,27,31,27,25-34
11:00pm,35,25,27,33,28,25-35
12:00am,36,25,26,34,29,25-36
17/7/2013
1:00am,37,25,26,34,29,25-37
2:00am,37,25,26,35,28,25-37
3:00am,38,25,27,35,28,25-38
4:00am,38,25,27,36,28,25-38
5:00am,38,26,28,36,29,26-38
6:00am,37,27,28,37,29,27-37
7:00am,36,27,29,37,29,27-37
8:00am,35,28,29,37,29,28-37
9:00am,35,28,29,37,29,28-37
10:00am,34,28,29,37,29,28-37
11:00am,34,27,28,36,28,27-36
12:00pm,34,27,28,36,28,27-36
1:00pm,34,27,29,36,29,27-36
2:00pm,33,27,29,36,29,27-36
3:00pm,33,28,30,36,29,28-36
4:00pm,33,27,29,36,28,27-36
5:00pm,33,27,29,35,28,27-35
6:00pm,33,26,28,35,27,26-35
7:00pm,33,27,28,34,27,27-34
8:00pm,33,26,26,34,26,26-34
9:00pm,32,25,24,33,25,24-33
10:00pm,31,24,23,31,24,23-31
11:00pm,30,23,22,29,23,22-30
12:00am,28,23,22,28,22,22-28
18/7/2013
1:00am,28,22,22,28,22,22-28
2:00am,28,22,22,27,23,22-28
3:00am,27,21,22,26,23,21-27
4:00am,27,21,21,26,23,21-27
5:00am,27,21,21,24,23,21-27
6:00am,27,21,21,24,22,21-27
7:00am,27,21,21,23,22,21-27
8:00am,27,20,20,22,21,20-27
9:00am,26,20,20,21,21,20-26
10:00am,27,20,19,21,21,19-27
11:00am,27,20,19,21,22,19-27
12:00pm,26,20,20,21,21,20-26
1:00pm,26,20,19,21,21,19-26
2:00pm,27,20,20,21,22,20-27
3:00pm,27,20,19,21,21,19-27
4:00pm,27,20,19,22,21,19-27
5:00pm,27,20,20,22,22,20-27
6:00pm,27,20,20,23,22,20-27
7:00pm,26,20,20,23,22,20-26
8:00pm,26,20,20,23,22,20-26
9:00pm,26,20,20,23,22,20-26
10:00pm,26,20,20,23,22,20-26
11:00pm,25,19,19,24,21,19-25
12:00am,24,19,19,23,21,19-24
19/7/2013
1:00am,23,19,18,24,20,18-24
2:00am,23,19,17,25,19,17-25
3:00am,22,18,17,26,19,17-26
4:00am,22,18,16,27,18,16-27
5:00am,21,18,16,28,17,16-28
6:00am,21,17,16,29,17,16-29
7:00am,21,17,15,30,17,15-30
8:00am,21,17,15,30,17,15-30
9:00am,21,17,15,30,17,15-30
10:00am,20,17,15,30,17,15-30
11:00am,21,17,14,31,17,14-31
12:00pm,21,16,14,31,17,14-31
1:00pm,22,16,14,31,16,14-31
2:00pm,22,16,14,31,16,14-31
3:00pm,23,16,13,32,16,13-32
4:00pm,23,16,13,32,16,13-32
5:00pm,22,16,13,30,15,13-30
6:00pm,22,15,13,26,15,13-26
7:00pm,22,15,12,25,15,12-25
8:00pm,22,16,12,23,15,12-23
9:00pm,23,16,13,23,16,13-23
10:00pm,22,16,12,22,16,12-22
11:00pm,23,16,13,21,16,13-23
12:00am,23,17,13,21,16,13-23
20/7/2013
1:00am,23,17,14,21,17,14-23
2:00am,24,17,14,22,17,14-24
3:00am,24,18,14,22,17,14-24
4:00am,24,18,14,23,18,14-24
5:00am,24,18,15,23,18,15-24
6:00am,25,19,15,24,18,15-25
7:00am,25,19,15,25,19,15-25
8:00am,25,19,15,25,19,15-25
9:00am,26,19,16,25,19,16-26
10:00am,26,19,16,26,19,16-26
